STOCK|CODE
Beryl Securities Ltd|BOM531582
Best & Crompton Engg.ltd|BOM500046
Best Eastern Hotels Ltd|BOM508664
Beta-kappa Investments Ltd|BOM531481
Betex India Ltd|BOM512477
Bf Investment Ltd|BOM533303
Bf Utilities Ltd.-$|BOM532430
Bgil Films & Technologies Ltd|BOM511664
Bgr Energy Systems Ltd|BOM532930
Bhagawati Gas Limited|BOM500051
Bhageria Industries Ltd|BOM530803
Bhagiradha Chemicals & Industries Ltd|BOM531719
Bhagwandas Metals Ltd|BOM530095
Bhagwati Autocast Ltd|BOM504646
Bhagwati Oxygen Ltd|BOM509449
Bhagyanagar India Ltd|BOM512296
Bhagyashree Leasing & Finance Ltd|BOM511698
Bhagyodaya Infrastructure Development Ltd|BOM501233
Bhandari Hosiery Exports Ltd|BOM512608
Bhanderi Infracon Ltd|BOM538576
Bhanot Construction & Housing Ltd|BOM534740
Bhansali Engineering Polymers Ltd.-$|BOM500052
Bharat Agri Fert & Realty Ltd|BOM531862
Bharat Bhushan Share & Commodity Brokers Ltd|BOM511501
Bharat Bijlee Ltd.-$|BOM503960
Bharat Electronics Ltd|BOM500049
Bharat Forge Ltd|BOM500493
Bharat Gears Ltd|BOM505688
Bharat Heavy Electricals Ltd|BOM500103
Bharat Immunologicals & Biologicals Corporation Ltd.-$|BOM524663
Bharat Petroleum Corporation Ltd|BOM500547
Bharat Rasayan Ltd|BOM590021
Bharat Seats Ltd.-$|BOM523229
Bharat Textiles & Proofing Industries Ltd|BOM531029
Bharati Shipyard Ltd|BOM532609
Bharatiya Global Infomedia Ltd|BOM533499
Bharti Airtel Ltd|BOM532454
Bharti Infratel Ltd|BOM534816
Bhartiya International Ltd|BOM526666
Bheema Cements Ltd|BOM518017
Bhilwara Spinners Ltd|BOM514272
Bhilwara Technical Textiles Ltd|BOM533108
Bhilwara Tex-fin Ltd|BOM530879
Bhoruka Aluminium Ltd|BOM506027
Bhushan Steel Ltd|BOM500055
Bhuwalka Steel Industries Ltd.-$|BOM513333
Bihar Sponge Iron Ltd|BOM500058
Bijlee Textiles Ltd|BOM512313
Bijoy Hans Ltd|BOM524723
Bil Energy Systems Ltd|BOM533321
Bilcare Ltd.-$|BOM526853
Bilpower Ltd|BOM531590
Bimetal Bearings Ltd.-$|BOM505681
Binani Industries Ltd|BOM500059
Binayak Tex Processors Ltd|BOM523054
Binny Ltd|BOM514215
Binny Mills Ltd|BOM535620
Bio Green Papers Ltd|BOM534535
Biocon Ltd|BOM532523
Biofil Chemicals & Pharmaceuticals Ltd|BOM524396
Biopac India Corporation Ltd.-$|BOM532330
Birdhi Chand Pannalal Agencies Ltd|BOM538364
Birla Capital & Financial Services Ltd|BOM512332
Birla Corporation Ltd|BOM500335
Birla Cotsyn (india) Ltd|BOM533006
Birla Ericsson Optical Ltd|BOM500060
Birla Pacific Medspa Ltd|BOM533469
Birla Power Solutions Ltd.-$|BOM517001
Birla Precision Technologies Ltd|BOM522105
Birla Shloka Edutech Ltd|BOM511607
Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Dividend Payout|BOM538758
Birla Sun Life Focused Equity Fund - Series 3 - Direct Plan - Growth|BOM538757
Birla Sun Life Focused Equity Fund - Series 3 - Regular Plan - Dividend Payout|BOM538756
Birla Sun Life Focused Equity Fund - Series 3- Regular Plan - Growth|BOM538755
Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Dividend Payout|BOM538844
Birla Sun Life Focused Equity Fund - Series 4 - Direct Plan - Growth|BOM538843
Birla Sun Life Focused Equity Fund - Series 4 - Regular Plan - Dividend Payout|BOM538842
Birla Sun Life Focused Equity Fund - Series 4- Regular Plan - Growth|BOM538841
